"Drake"; "Toronto, Ontario, Canada"; "Drake Graham is a Canadian rapper, singer, songwriter, actor, record producer, and entrepreneur who has released several albums."
Gunna; 'College Park, Georgia'; 'Sergio Giavanni Kitchens, known professionally as Gunna, is an American rapper, singer, and songwriter. He is signed to Young Thug's YSL Records and 300 Entertainment. Gunna initially rose to fame with the mixtape Drip Season 3 in 2018.'
Lil Baby; 'Atlanta, Georgia'; 'Dominique Armani Jones, known professionally as Lil Baby, is an American rapper. He rose to mainstream fame in 2017 following the release of his mixtape Perfect Timing.'
A Boogie Wit Da Hoodie; 'Bronx, New York'; 'Artist Julius Dubose, known professionally as A Boogie wit da Hoodie, is an American rapper and singer-songwriter. He is signed to Atlantic Records, as well as his own label imprint, Highbridge the Label.'
The Weeknd; 'Scarborough, Toronto, Canada'; 'Abel Makkonen Tesfaye, known professionally as the Weeknd, is a Canadian singer, songwriter, and record producer. He is noted for his unconventional music production, artistic reinventions, and his signature use of the falsetto register.'
Don Toliver; 'Houston, Texas'; 'Caleb Zackery "Don" Toliver is an American rapper and singer-songwriter. He released his first major label mixtape, Donny Womack, in August 2018.'
Travis Scott; 'Houston, Texas'; 'Jacques Bermon Webster II, known professionally as Travis Scott, is an American rapper, singer, and record producer. Throughout his career, Scott has achieved four number-one hits on the US Billboard Hot 100 chart, along with 80 total charted songs.'
J. Cole; 'Frankfurt, Germany'; 'Jermaine Lamarr Cole is an American rapper and record producer. Born on a military base in Germany and raised in Fayetteville, North Carolina, Cole initially gained recognition as a rapper following the release of his debut mixtape, The Come Up, in early 2007.'
Future; 'Atlanta, Georgia'; 'Nayvadius DeMun Cash, better known by the stage name Future, is an American rapper and singer. Known for his mumble-styled vocals and prolific output, Future is considered a pioneer of the use of melody and auto-tune in modern trap music.'
Trey Songz; 'Petersburg, Virginia'; 'Tremaine Aldon Neverson, known professionally as Trey Songz, is an American R&B singer and actor. Upon being discovered by record producer Troy Taylor, he signed to Atlantic Records in 2005 and released his debut album, I Gotta Make It in July of that year.'
